Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
C1I_T01_clean_1	465.0	472.0	586.5	1033.0	1380.5	1427.0	1563.5	1829.0	2390.5	3268.5	4330.0	5292.5	6059.0	7404.0	9281.5	11509.0	14249.0	17503.5	21640.5	26145.0	31286.0	37692.0	45792.5	56214.0	67467.0	78562.5	92041.0	109946.5	132300.5	155855.5	180306.0	206127.0	231791.5	256920.5	280144.5	299887.0	315420.5	321935.0	320012.5	314896.5	302103.0	278448.5	249478.5	219138.5	189027.0	161419.0	134843.0	111873.0	92276.5	76312.5	62265.5	50207.5	42008.0	34326.5	28204.5	23331.5	19047.0	15468.5	12445.5	10040.0	8176.5	6688.0	5625.0	4466.0	3329.5	2744.5	2185.0	1728.0	1447.0	1117.0	857.0	677.5	560.5	446.0	355.0	289.0	240.0	188.5	135.5	96.0	76.0	66.5	61.5	47.5	28.5	20.5	16.0	12.5	11.0	9.0	6.5	3.5	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0
C1I_T01_clean_2	342.0	344.0	426.5	788.0	1083.0	1130.0	1235.5	1466.5	1966.0	2769.5	3752.5	4645.5	5375.5	6617.5	8365.5	10499.5	13069.5	16075.0	20014.5	24398.0	29373.5	35672.0	43521.5	53579.5	64831.5	76065.5	89382.0	107005.5	129673.0	153838.0	178953.0	204567.0	229954.5	255134.5	278191.0	297945.0	313545.0	319944.5	317241.0	311376.5	298370.0	274098.5	244397.0	213309.0	182132.0	154399.5	128217.5	105317.5	85901.0	70559.5	57293.5	45889.0	38402.5	31441.0	25573.5	20886.5	16949.5	13689.0	10930.5	8829.5	7215.0	5936.0	5001.0	3939.5	2964.5	2498.5	1987.5	1532.5	1302.0	1025.0	776.0	586.5	454.5	354.5	281.0	225.0	198.5	163.5	119.0	86.5	67.5	58.5	50.5	33.0	17.0	12.5	12.0	11.5	8.5	7.0	6.0	3.5	2.0	1.5	1.0	1.5	2.0	215.0	915.5	2323.0	3488.5
C1I_T02_clean_1	414.0	420.5	515.0	918.5	1253.5	1309.0	1440.0	1672.5	2116.0	2872.0	3763.0	4497.5	5103.5	6229.0	7857.5	9862.5	12289.5	15099.0	18672.0	22538.0	27146.0	33146.5	41091.5	52061.5	64043.5	76040.0	90947.5	111700.0	138517.0	166413.0	196512.0	228534.0	259790.0	290633.0	318932.0	340305.0	358470.0	366182.5	359360.5	350561.0	332779.0	299119.5	260626.5	222235.5	184712.0	152495.0	122426.5	96987.5	76750.5	61512.0	48856.5	38095.0	31152.0	24927.0	20222.5	16383.5	12798.0	10026.0	7946.5	6394.5	5180.0	4222.5	3603.0	2859.5	2079.0	1722.0	1377.0	1078.5	899.0	668.0	492.5	378.0	307.0	248.5	202.0	158.5	128.0	93.5	59.5	44.5	35.5	29.0	25.0	15.5	6.0	2.5	1.5	2.0	2.0	1.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.5	3.0
C1I_T02_clean_2	517.0	517.5	633.0	1126.5	1525.5	1604.0	1756.0	2037.5	2660.0	3735.0	5081.5	6221.0	7066.5	8571.0	10656.0	13236.5	16489.0	20436.5	25487.5	30872.0	37243.0	45328.5	55005.5	67562.0	81676.0	95690.5	112875.0	135790.0	164088.0	193305.0	224839.5	257875.0	289022.0	319431.5	346307.5	366600.5	382929.5	389247.5	383946.0	374425.5	355221.5	323210.5	286416.0	247343.5	208359.0	174855.5	143582.5	116503.0	93956.5	76709.5	61452.5	48685.5	40967.5	33485.5	27181.0	22099.5	17705.0	14078.5	11194.0	9064.0	7399.0	6059.5	5048.5	3986.0	2977.0	2482.0	1950.5	1476.0	1226.0	956.5	735.0	588.5	503.0	413.5	331.0	259.5	215.5	161.0	103.5	65.5	46.0	36.5	32.0	22.0	12.0	9.5	8.0	7.0	7.0	7.0	5.5	3.0	1.5	0.5	0.5	0.5	0.0	262.0	1132.0	2886.5	4345.5
C1I_T03_clean_1	444.0	451.5	527.5	894.5	1209.0	1254.5	1385.0	1624.0	2058.0	2795.0	3663.5	4417.0	5081.0	6171.5	7720.5	9599.5	11842.5	14600.5	18222.0	22053.0	26498.0	32070.5	39386.0	49714.0	61118.0	71757.0	84431.5	103349.0	128249.5	153979.0	181617.0	210558.0	240061.5	271567.0	299847.0	322720.5	341391.5	347264.5	343153.5	338827.0	323608.5	292066.0	254554.0	215883.0	179653.5	149192.0	119101.0	94029.0	74764.0	59830.5	47664.5	37272.5	30723.0	24799.5	20092.0	16173.5	12652.5	9959.5	7883.0	6349.0	5170.0	4308.5	3739.0	3127.0	2460.0	2080.0	1766.5	1501.5	1335.0	1108.5	927.0	793.5	658.0	557.0	472.5	386.5	324.0	254.0	178.0	129.5	103.0	82.5	72.0	58.0	38.0	27.0	22.0	20.0	18.5	14.5	9.5	5.5	3.5	2.5	1.5	1.0	1.0	1.0	1.0	1.5	2.0
C1I_T03_clean_2	543.0	552.0	656.5	1148.0	1556.5	1622.5	1788.0	2077.0	2653.5	3642.5	4852.0	5946.0	6893.5	8510.0	10712.0	13300.0	16549.5	20433.5	25270.0	30321.0	36067.5	43466.0	52577.5	64469.5	77278.5	89703.5	104774.5	125393.0	151998.0	179691.5	208521.0	238041.0	267894.0	298901.0	326464.5	348294.5	364727.0	370347.5	367228.5	361423.5	344877.5	314104.5	277501.0	238948.5	201430.5	169179.5	138426.5	112026.5	90934.0	74651.5	59703.0	46984.0	39323.0	32074.5	26235.0	21457.5	17175.0	13641.0	10832.5	8747.0	7159.5	5940.5	5057.0	4077.5	3168.0	2773.0	2308.0	1905.5	1716.5	1417.0	1156.0	1017.5	886.0	728.5	598.0	468.5	388.5	303.5	205.5	152.0	117.0	94.5	78.0	56.5	40.0	31.0	25.5	24.5	20.0	14.0	11.5	9.0	5.5	2.5	2.0	2.0	1.5	264.0	1117.5	2849.0	4295.0
C1I_T04_clean_1	363.0	371.0	468.5	811.0	1077.0	1126.5	1252.5	1462.0	1872.5	2540.0	3269.5	3904.0	4498.5	5518.5	6909.5	8604.5	10777.5	13320.0	16499.5	19958.5	23851.5	28621.5	34840.5	43427.0	52917.5	62186.0	73372.0	89113.0	109141.5	129457.0	151392.0	174935.0	198080.0	222267.5	244932.5	262454.5	276063.0	280837.5	277281.5	272244.5	260096.5	236293.5	207325.0	177690.0	149138.5	124700.5	101299.5	81420.5	65313.0	52766.0	42280.0	33380.5	27614.5	22264.0	18173.0	14746.5	11732.5	9376.5	7412.0	5927.5	4820.0	3962.5	3355.0	2647.5	1957.5	1640.5	1315.0	1010.0	824.5	609.5	455.5	357.5	285.5	228.5	188.0	149.0	123.0	89.0	55.5	43.0	35.5	29.0	24.0	14.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0
C1I_T04_clean_2	402.0	409.5	492.0	821.0	1094.5	1156.0	1284.0	1489.5	1938.0	2671.5	3558.5	4381.5	5113.0	6352.0	8056.0	10062.5	12483.5	15328.0	18938.5	22934.0	27439.0	32899.5	39700.0	49207.5	59606.0	69548.0	81420.0	97629.0	118845.5	140371.5	162885.5	186639.5	210703.0	234975.5	255503.0	271996.5	285284.0	289516.0	285389.5	279719.5	266436.0	242340.0	214087.0	183965.0	155243.5	130574.0	106265.0	85757.5	69550.0	56695.0	45243.0	35793.5	30103.5	24589.5	20004.0	16314.0	13059.5	10346.0	8211.0	6589.5	5294.0	4274.0	3558.5	2803.5	2072.0	1718.5	1343.5	1026.0	855.0	657.5	498.5	385.0	318.0	258.0	211.0	166.0	137.0	103.0	61.0	37.5	29.0	25.5	21.5	16.0	10.5	8.0	8.0	7.5	7.0	6.5	3.5	1.0	0.5	0.0	0.5	1.0	1.0	189.5	833.5	2213.5	3401.5
C1I_T05_clean_1	361.0	364.5	443.0	790.0	1075.0	1111.5	1217.0	1407.5	1789.5	2489.0	3372.0	4119.5	4645.5	5578.0	6914.0	8528.0	10523.0	12952.0	16128.0	19542.5	23586.0	28759.0	35665.5	45179.5	55455.0	65174.0	76633.5	93519.0	116095.5	139397.0	163901.5	190136.5	216507.5	244408.5	269896.5	290657.5	308304.0	314737.5	311281.5	306610.0	292912.5	265171.5	232392.0	198719.0	166249.0	138044.0	111019.5	88888.0	71335.0	57261.0	45562.5	35774.0	29297.0	23418.5	18949.5	15344.0	12134.5	9603.5	7561.5	6048.5	4875.0	3952.0	3314.0	2642.0	1970.0	1628.5	1280.0	978.5	804.5	604.5	476.5	382.0	307.5	246.5	199.0	158.0	132.0	99.5	65.0	45.5	34.5	26.5	21.0	14.5	9.0	6.5	3.5	2.0	2.0	2.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
