Sample	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
C1I_T01_clean_1	77549.0	86582.0	94794.0	104795.0	113133.0	129571.0	141769.0	150161.0	149562.0	156533.0	161949.0	161890.0	152241.0	148463.0	144942.0	145165.0	130882.0	121032.0	119754.0	104312.0	109250.0	99221.0	93630.0	82278.0	86222.0	88384.0	121838.0	244658.0
C1I_T01_clean_2	74396.0	81824.0	90027.0	99820.0	107804.0	121578.0	124872.0	131885.0	141375.0	145256.0	145397.0	151756.0	145947.0	147621.0	141854.0	126821.0	124754.0	126084.0	142105.0	115707.0	122505.0	109629.0	118919.0	99827.0	99843.0	98856.0	129483.0	254615.0
C1I_T02_clean_1	63946.0	66527.0	68913.0	76152.0	81303.0	96255.0	104122.0	117365.0	119449.0	131583.0	140926.0	150095.0	150689.0	154069.0	156603.0	160305.0	151725.0	144861.0	150968.0	134687.0	150445.0	145374.0	143886.0	131436.0	145562.0	158632.0	240743.0	689186.0
C1I_T02_clean_2	92478.0	98825.0	107929.0	119723.0	129241.0	147067.0	149718.0	159593.0	170465.0	174261.0	174799.0	182431.0	174647.0	176865.0	169144.0	151440.0	148959.0	150659.0	168980.0	138380.0	146313.0	130404.0	141711.0	118821.0	119917.0	118858.0	156473.0	307706.0
C1I_T03_clean_1	61489.0	63263.0	66870.0	73478.0	78132.0	93243.0	100648.0	113293.0	115575.0	127605.0	136795.0	145448.0	144500.0	147456.0	150443.0	152939.0	145102.0	137790.0	144516.0	128496.0	143356.0	137781.0	135932.0	124248.0	137432.0	148625.0	227013.0	641254.0
C1I_T03_clean_2	90966.0	95696.0	103828.0	114203.0	122299.0	138714.0	141374.0	149541.0	160010.0	164130.0	164992.0	173359.0	163911.0	166085.0	159751.0	143169.0	141241.0	143148.0	161079.0	132286.0	140203.0	124485.0	136110.0	114704.0	115081.0	114396.0	150926.0	297035.0
C1I_T04_clean_1	57184.0	61188.0	64943.0	71366.0	74923.0	87522.0	94525.0	102803.0	104107.0	111938.0	118713.0	122123.0	121095.0	120517.0	121375.0	122491.0	115025.0	107825.0	110769.0	98541.0	107381.0	102061.0	99956.0	91213.0	97961.0	105328.0	156291.0	412218.0
C1I_T04_clean_2	66163.0	70512.0	77778.0	86392.0	93169.0	106581.0	108781.0	115798.0	124614.0	126754.0	128347.0	134246.0	129314.0	131410.0	124994.0	112519.0	110994.0	112601.0	126742.0	103181.0	110181.0	99377.0	107813.0	91442.0	92278.0	93224.0	124577.0	251600.0
C1I_T05_clean_1	56534.0	58941.0	61007.0	66311.0	70224.0	82179.0	91158.0	102254.0	105353.0	115650.0	125106.0	131753.0	133017.0	134067.0	137752.0	140493.0	132660.0	125139.0	131761.0	118212.0	130538.0	125070.0	123428.0	112446.0	124728.0	135297.0	205587.0	579468.0
C1I_T05_clean_2	85165.0	91200.0	99735.0	108932.0	116602.0	130348.0	134022.0	139865.0	150389.0	151678.0	152875.0	158554.0	151749.0	153126.0	145591.0	129728.0	127812.0	129457.0	145136.0	117801.0	124654.0	111099.0	119674.0	100667.0	99246.0	99652.0	130601.0	250775.0
C1I_T10_clean_1	53711.0	54995.0	56370.0	61618.0	63774.0	75852.0	81368.0	92405.0	92401.0	103615.0	109505.0	117333.0	117884.0	119443.0	122172.0	124196.0	120376.0	112455.0	117910.0	105135.0	118808.0	114088.0	113351.0	102787.0	114170.0	124045.0	188740.0	554664.0
C1I_T10_clean_2	58192.0	62376.0	69661.0	79304.0	88312.0	104508.0	107263.0	116671.0	126947.0	132653.0	134351.0	142863.0	138075.0	141199.0	137415.0	122519.0	121391.0	123604.0	140693.0	115756.0	123129.0	110419.0	121705.0	102044.0	102564.0	102139.0	135920.0	271498.0
C1I_T15_clean_1	53975.0	55013.0	56629.0	61546.0	64208.0	76304.0	82548.0	92854.0	94567.0	103862.0	111750.0	117843.0	119088.0	120557.0	123338.0	125144.0	118738.0	112282.0	118056.0	106017.0	117538.0	112611.0	111544.0	100944.0	111548.0	119358.0	179124.0	504025.0
C1I_T15_clean_2	53358.0	58266.0	65496.0	75306.0	83925.0	99259.0	104144.0	113905.0	123897.0	130055.0	133120.0	141990.0	137682.0	140309.0	136357.0	122528.0	121601.0	122750.0	141014.0	115296.0	123685.0	109977.0	120607.0	101277.0	101191.0	100652.0	132840.0	260524.0
C1I_T20_clean_1	75830.0	77288.0	79534.0	85880.0	90080.0	106237.0	115072.0	130476.0	132177.0	147456.0	158462.0	167274.0	166747.0	169631.0	173737.0	176825.0	167140.0	159463.0	165644.0	147408.0	164675.0	157710.0	155482.0	142165.0	155954.0	168357.0	253207.0	702708.0
C1I_T20_clean_2	76216.0	85547.0	97942.0	113386.0	126642.0	147620.0	154518.0	168042.0	181960.0	188994.0	191416.0	202397.0	194721.0	198402.0	190462.0	170779.0	167845.0	170945.0	192980.0	158009.0	166172.0	149092.0	161800.0	136650.0	136456.0	136308.0	178722.0	348596.0
C1M_T01_clean_1	46900.0	51520.0	55398.0	61459.0	66081.0	76861.0	84271.0	91367.0	91902.0	98389.0	103835.0	106388.0	102235.0	100822.0	100550.0	101163.0	92898.0	86069.0	87255.0	76282.0	82486.0	75712.0	73026.0	65692.0	69224.0	73195.0	104303.0	238928.0
C1M_T01_clean_2	50634.0	54444.0	60062.0	65850.0	71050.0	80654.0	83070.0	88555.0	95046.0	97898.0	98837.0	104403.0	100444.0	101317.0	98015.0	88009.0	86479.0	87740.0	99511.0	81393.0	86934.0	77623.0	85466.0	72638.0	73748.0	73722.0	99596.0	201073.0
C1M_T02_clean_1	54146.0	59964.0	64603.0	73025.0	78231.0	92304.0	101670.0	112527.0	113607.0	124686.0	132950.0	140022.0	136845.0	138187.0	139054.0	142105.0	131863.0	125873.0	129098.0	114100.0	125224.0	118884.0	115773.0	104854.0	114359.0	121916.0	179567.0	458148.0
C1M_T02_clean_2	83577.0	88348.0	96650.0	106056.0	113874.0	125718.0	129224.0	135122.0	144309.0	146726.0	146442.0	153290.0	145460.0	147100.0	139823.0	125252.0	123221.0	124294.0	139598.0	113827.0	119499.0	107015.0	116296.0	97291.0	97192.0	96587.0	128070.0	253724.0
C1M_T03_clean_1	55769.0	58751.0	61920.0	67713.0	71406.0	85136.0	92239.0	104056.0	105262.0	116436.0	124778.0	132803.0	131617.0	133639.0	136433.0	140408.0	132123.0	125177.0	130664.0	116838.0	130301.0	124311.0	122885.0	111817.0	123898.0	134314.0	203653.0	572328.0
