Sample	34.0	35.0	36.0	37.0
C1I_T01_clean_1	3676.0	341902.0	2792713.0	382269.0
C1I_T01_clean_2	4161.0	359466.0	2717235.0	439698.0
C1I_T02_clean_1	3456.0	258196.0	3410729.0	553426.0
C1I_T02_clean_2	5454.0	438917.0	3248918.0	532518.0
C1I_T03_clean_1	3386.0	249752.0	3242440.0	527144.0
C1I_T03_clean_2	5282.0	418843.0	3087204.0	511393.0
C1I_T04_clean_1	2960.0	237496.0	2529768.0	391158.0
C1I_T04_clean_2	3850.0	315580.0	2455357.0	386595.0
C1I_T05_clean_1	3017.0	231103.0	2972326.0	449687.0
C1I_T05_clean_2	4779.0	397098.0	2816871.0	437385.0
C1I_T10_clean_1	3060.0	206382.0	2668561.0	455168.0
C1I_T10_clean_2	3874.0	305658.0	2588076.0	435563.0
C1I_T15_clean_1	3121.0	206850.0	2615094.0	445946.0
C1I_T15_clean_2	3565.0	287352.0	2548829.0	431265.0
C1I_T20_clean_1	4087.0	292721.0	3700942.0	594869.0
C1I_T20_clean_2	5049.0	435356.0	3584330.0	567884.0
C1M_T01_clean_1	2347.0	206934.0	1978064.0	276866.0
C1M_T01_clean_2	3001.0	242374.0	1910350.0	308486.0
C1M_T02_clean_1	2935.0	245365.0	2879797.0	415488.0
C1M_T02_clean_2	4690.0	383720.0	2724902.0	430273.0
C1M_T03_clean_1	3110.0	231283.0	2955085.0	457197.0
C1M_T03_clean_2	4686.0	371350.0	2815704.0	454935.0
C1M_T04_clean_1	2654.0	207964.0	2271367.0	347184.0
C1M_T04_clean_2	3284.0	263601.0	2214308.0	347976.0
C1M_T05_clean_1	2995.0	220268.0	2783804.0	426916.0
C1M_T05_clean_2	4428.0	356495.0	2648097.0	424963.0
C1M_T10_clean_1	2935.0	204355.0	2665837.0	438722.0
C1M_T10_clean_2	3636.0	287560.0	2594342.0	426311.0
C1M_T15_clean_1	3185.0	241459.0	3034152.0	468739.0
C1M_T15_clean_2	4912.0	397706.0	2876852.0	468065.0
C1M_T20_clean_1	3209.0	249295.0	3118356.0	474815.0
C1M_T20_clean_2	5707.0	444102.0	2927876.0	467990.0
C2I_T01_clean_1	2401.0	195709.0	1815544.0	267332.0
C2I_T01_clean_2	3144.0	256124.0	1739684.0	282034.0
C2I_T02_clean_1	2241.0	169548.0	1971227.0	302450.0
C2I_T02_clean_2	3451.0	276463.0	1867302.0	298250.0
C2I_T03_clean_1	1931.0	154850.0	1785754.0	272466.0
C2I_T03_clean_2	3160.0	251885.0	1690184.0	269772.0
C2I_T04_clean_1	1619.0	125323.0	1189268.0	180611.0
C2I_T04_clean_2	1870.0	157539.0	1157819.0	179593.0
C2I_T05_clean_1	2050.0	155990.0	1753345.0	269834.0
C2I_T05_clean_2	3089.0	248101.0	1661586.0	268443.0
C2I_T10_clean_1	2109.0	159716.0	1788341.0	264939.0
C2I_T10_clean_2	3223.0	253634.0	1696380.0	261868.0
C2I_T15_clean_1	1874.0	125677.0	1458996.0	275312.0
C2I_T15_clean_2	2097.0	165003.0	1422069.0	272690.0
C2I_T20_clean_1	3342.0	255345.0	3396135.0	535058.0
C2I_T20_clean_2	6121.0	481087.0	3186329.0	516343.0
C2M_T01_clean_1	3202.0	265315.0	2329907.0	335576.0
C2M_T01_clean_2	3641.0	302521.0	2250103.0	377735.0
C2M_T02_clean_1	2833.0	222517.0	2588711.0	388128.0
C2M_T02_clean_2	4090.0	335333.0	2470739.0	392027.0
C2M_T03_clean_1	2409.0	179813.0	2193026.0	341438.0
C2M_T03_clean_2	3701.0	284339.0	2083584.0	345062.0
C2M_T04_clean_1	2143.0	156319.0	1741479.0	298852.0
C2M_T04_clean_2	2231.0	181141.0	1715059.0	300362.0
C2M_T05_clean_1	2495.0	170799.0	2155230.0	355998.0
C2M_T05_clean_2	3032.0	253979.0	2079164.0	348347.0
C2M_T10_clean_1	2655.0	178936.0	2269583.0	380709.0
C2M_T10_clean_2	3228.0	256731.0	2199772.0	372152.0
C2M_T15_clean_1	2910.0	219834.0	2751681.0	430526.0
C2M_T15_clean_2	4640.0	367563.0	2602736.0	430012.0
C2M_T20_clean_1	4356.0	326714.0	4212835.0	652051.0
C2M_T20_clean_2	7329.0	591478.0	3965764.0	631385.0
C3I_T01_clean_1	4032.0	359136.0	3166751.0	448851.0
C3I_T01_clean_2	5271.0	428679.0	3047788.0	497032.0
C3I_T02_clean_1	4274.0	331130.0	4165138.0	618896.0
C3I_T02_clean_2	7297.0	592698.0	3914085.0	605358.0
C3I_T03_clean_1	2811.0	224555.0	2840807.0	444157.0
C3I_T03_clean_2	5269.0	412241.0	2656452.0	438368.0
C3I_T04_clean_1	3417.0	275708.0	2952763.0	451962.0
C3I_T04_clean_2	4581.0	377927.0	2856594.0	444748.0
C3I_T05_clean_1	3051.0	240334.0	3022940.0	465341.0
C3I_T05_clean_2	5045.0	422684.0	2847376.0	456561.0
C3I_T10_clean_1	2850.0	205251.0	2641704.0	423429.0
C3I_T10_clean_2	3774.0	314542.0	2554628.0	400290.0
C3I_T15_clean_1	4086.0	310441.0	3887292.0	601807.0
C3I_T15_clean_2	6714.0	535333.0	3676829.0	584750.0
C3I_T20_clean_1	3086.0	249187.0	2748849.0	414413.0
C3I_T20_clean_2	4384.0	361452.0	2626487.0	423212.0
C3M_T01_clean_1	4507.0	462348.0	2813367.0	350360.0
C3M_T01_clean_2	4816.0	412517.0	2792621.0	420628.0
C3M_T02_clean_1	3374.0	263979.0	3511292.0	507583.0
C3M_T02_clean_2	6748.0	545430.0	3242233.0	491817.0
