Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C1I_T01_clean_1	48.321822228959036	36.0	85.27810263139955	0.0	3520560.0
C1I_T01_clean_2	51.655874928167215	36.0	88.02762628672711	9.090909090909092	3520560.0
C1I_T02_clean_1	73.68869176826031	36.0	100.88893269380263	18.181818181818183	4225807.0
C1I_T02_clean_2	59.36579343421311	36.0	87.94264811431285	9.090909090909092	4225807.0
C1I_T03_clean_1	77.782410600388	36.0	100.40459295969247	18.181818181818183	4022722.0
C1I_T03_clean_2	62.16333339847134	36.0	88.11043964758191	9.090909090909092	4022722.0
C1I_T04_clean_1	66.65666499269945	36.0	95.41373234870066	9.090909090909092	3161382.0
C1I_T04_clean_2	59.36005240135113	36.0	89.23807341219758	9.090909090909092	3161382.0
C1I_T05_clean_1	71.89142879230221	36.0	100.35429044840546	18.181818181818183	3656133.0
C1I_T05_clean_2	57.181854711525325	36.0	86.76775051673448	9.090909090909092	3656133.0
C1I_T10_clean_1	75.3748136516428	36.0	100.88577453721996	18.181818181818183	3333171.0
C1I_T10_clean_2	62.93302314170222	36.0	91.34444767460175	9.090909090909092	3333171.0
C1I_T15_clean_1	72.98276828284314	36.0	99.70712480025288	18.181818181818183	3271011.0
C1I_T15_clean_2	62.088517994931145	36.0	91.6790536626138	9.090909090909092	3271011.0
C1I_T20_clean_1	76.4924362724603	36.0	99.65471226766253	18.181818181818183	4592619.0
C1I_T20_clean_2	64.39636667279771	36.0	90.27730626032772	9.090909090909092	4592619.0
C1M_T01_clean_1	56.6311226035669	36.0	90.78741390246209	9.090909090909092	2464211.0
C1M_T01_clean_2	54.65246073679938	36.0	89.83222175373781	9.090909090909092	2464211.0
C1M_T02_clean_1	57.85168900283599	36.0	96.63503260116521	9.090909090909092	3543585.0
C1M_T02_clean_2	51.105804063466046	36.0	86.97892699060415	9.090909090909092	3543585.0
C1M_T03_clean_1	66.49586412465811	36.0	100.06309089787273	18.181818181818183	3646675.0
C1M_T03_clean_2	56.49597999058937	36.0	89.25480471936764	9.090909090909092	3646675.0
C1M_T04_clean_1	56.981809195238796	36.0	95.87542879198804	9.090909090909092	2829169.0
C1M_T04_clean_2	54.48407595558718	36.0	91.26611100291287	9.090909090909092	2829169.0
C1M_T05_clean_1	64.10571181370874	36.0	99.80094980085806	18.181818181818183	3433983.0
C1M_T05_clean_2	54.37077542080297	36.0	87.87890126421709	9.090909090909092	3433983.0
C1M_T10_clean_1	64.03563289976594	36.0	100.746755664283	18.181818181818183	3311849.0
C1M_T10_clean_2	57.47765776016949	36.0	92.93852527696764	9.090909090909092	3311849.0
C1M_T15_clean_1	65.09261142535854	36.0	99.65890912293014	18.181818181818183	3747535.0
C1M_T15_clean_2	55.30243178651881	36.0	87.63565730540209	9.090909090909092	3747535.0
C1M_T20_clean_1	64.6776888997929	36.0	99.13937995280412	9.090909090909092	3845675.0
C1M_T20_clean_2	52.74279868008254	36.0	85.11911328960456	9.090909090909092	3845675.0
C2I_T01_clean_1	44.92602722789874	36.0	90.74985642174042	0.0	2280986.0
C2I_T01_clean_2	42.4615050860372	36.0	85.44979846434832	0.0	2280986.0
C2I_T02_clean_1	62.074322390136615	36.0	98.08338983244911	9.090909090909092	2445466.0
C2I_T02_clean_2	50.404667369349625	36.0	85.7600093397332	9.090909090909092	2445466.0
C2I_T03_clean_1	64.93030820745184	36.0	97.89817024913307	9.090909090909092	2215001.0
C2I_T03_clean_2	52.17754986348056	36.0	85.89844383817434	9.090909090909092	2215001.0
C2I_T04_clean_1	52.14318993679218	36.0	92.7908373813569	9.090909090909092	1496821.0
C2I_T04_clean_2	47.43988246398789	36.0	87.76156734840038	0.0	1496821.0
C2I_T05_clean_1	59.53895097762221	36.0	97.03352024716455	9.090909090909092	2181219.0
C2I_T05_clean_2	48.53574692710699	36.0	84.8330277702514	0.0	2181219.0
C2I_T10_clean_1	61.46730132991579	36.0	97.68043230456344	9.090909090909092	2215105.0
C2I_T10_clean_2	50.3548893912198	36.0	86.01511260188569	9.090909090909092	2215105.0
C2I_T15_clean_1	58.02711446603886	36.0	96.39739905116338	18.181818181818183	1861859.0
C2I_T15_clean_2	51.05489973935644	36.0	89.523266799473	9.090909090909092	1861859.0
