Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
C1I_T01_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013752648045933842	0.0007563956425263614	0.0042421629741688244	0.04746250419852476	0.16753899007958023	0.3447471496314555	0.7373905408228845	1.086993433110558	1.6809438548143525	2.1463228857287184	2.873673993478071	3.439510828887966	4.270599218743801	4.917084755983064	5.7798095258245645	6.498639281265456	7.399368965033892	8.196467156296201	9.099069315990892	9.965253405763946	10.877408366370544	11.796460808920179	12.711334562255857	13.678193325205166	14.588639783766059	15.233226397678976
C1I_T01_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013752648045933842	0.0007616851225440283	0.004263320894239492	0.04760532015900177	0.1684540701226366	0.3471855999195999	0.7437855221642437	1.097683472226263	1.69933537683578	2.171765284613696	2.9126944875683995	3.4893800464945293	4.33516790131946	4.995051691443472	5.879532092597637	6.619493320709107	7.545469692601868	8.365280911060037	9.295790367327939	10.191532071439717	11.13744978299908	12.093475690872209	13.04531762005136	14.054169564860928	15.007164600683927	15.685926544990995
C1I_T02_1 - nextera_transposase_sequence	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	6.579577911304219e-05	0.0003640699777588335	0.0011580057123895427	0.006851533798304793	0.0690592497570491	0.2303817273716801	0.46424185826580305	0.9466565107226284	1.3667099237361124	2.0439414917613816	2.57608020768657	3.3627345427621025	3.9669284095866204	4.83789784240288	5.523174041021036	6.443209579514528	7.19280334540832	8.121015106052926	8.944151007454003	9.885232422493122	10.774865924651113	11.720215292562028	12.675083116517964	13.621050964752545	14.61919925220904	15.556381170739389	16.225217197349835
C1I_T02_2 - nextera_transposase_sequence	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	2.1931926371014065e-05	7.895493493565063e-05	0.0003860019041298475	0.0011887104093089623	0.006930488733240444	0.06946718358754995	0.23171080210976358	0.4678211486495526	0.9541221384593216	1.3783645494096692	2.063197723115132	2.602490633422545	3.400896094647667	4.015003192191883	4.900000285115043	5.597961909946195	6.537591431459551	7.30605104041769	8.25689654907718	9.099293068217284	10.06314859560006	10.976758079666846	11.949517969156254	12.932827115230122	13.906192325887371	14.935435698552691	15.902177467445892	16.59362969653013
C1I_T03_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2921206975748446e-05	5.959513813694596e-05	0.0002429647939429335	0.0008343319339172435	0.004946396465366515	0.05816027058026411	0.2102378946229599	0.42130553693844186	0.8955269723010966	1.2929715327777844	1.9667862542438617	2.4855802686915567	3.2791307911575487	3.881559705618355	4.774537839703748	5.455971570368564	6.379141518282413	7.116842227831297	8.048474685360592	8.85352248524562	9.796207548778622	10.683382033257754	11.644486578716467	12.590178904604686	13.543242690656308	14.534218153045817	15.480694384212606	16.15365185253779
C1I_T03_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2921206975748446e-05	7.334786232239502e-05	0.0002521332767332329	0.0008572531408929919	0.00501516008629376	0.05860952623698877	0.21192031121497984	0.42512879426199673	0.9041315933997925	1.305729476580486	1.9866085140364889	2.512421002060158	3.318440661120957	3.9297354984399826	4.83631049250339	5.528828918861678	6.470973041910052	7.227735027179968	8.182302444409197	9.00757133308823	9.973548927149986	10.88169631601193	11.86916483373415	12.842394697683034	13.822152521378609	14.844351251910485	15.82332517032749	16.520620376219522
C1I_T04_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.626230242930631e-05	0.0004458411526636369	0.0014079194294641165	0.006435365058842233	0.0579358845224484	0.19990695999103628	0.3987814457337988	0.8447340586856017	1.2201616408831644	1.854822388030808	2.335861526431047	3.093603763368635	3.66459722064972	4.509947244085712	5.160992653593743	6.043153903779266	6.75745595998693	7.6521124951089465	8.428820580027608	9.325612459617643	10.180383810569134	11.081581304707203	11.98954854476861	12.890347128401666	13.840106110194332	14.73280915710797	15.376768038821032
C1I_T04_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	2.933165478050243e-05	2.933165478050243e-05	2.933165478050243e-05	2.933165478050243e-05	0.00013492561199031117	0.0005045044622246418	0.001484181731893423	0.006494028368403237	0.058375859344155935	0.2016140622992615	0.4020783237311273	0.8527005361239862	1.2317359118595506	1.8735594491045926	2.3612099424923576	3.1313242714163607	3.712096902401265	4.5717138427224935	5.235107878893118	6.135830200223742	6.869068772757698	7.7873431563089754	8.583457064030416	9.502523402260767	10.379792132428902	11.307933684648342	12.244305699199186	13.1686693342829	14.149021232011629	15.071255388958274	15.73798736744292
C1I_T05_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5331616187510703e-05	9.626014151254068e-05	0.00027864777806261773	0.0008156780412378446	0.00395173212525167	0.04065724398095468	0.14273352457014782	0.289910214619585	0.630671115573979	0.9379486862517213	1.473545179950735	1.8987312913348646	2.5701812426474984	3.0837544292330903	3.858339522691555	4.46230604848066	5.277664911354542	5.945933211674024	6.78795613374688	7.5356238518444965	8.392014866618908	9.214253796449318	10.092723847892765	10.984330875491054	11.85939129139566	12.782287931308762	13.658528800527709	14.292097852993539
